contract_id,plan_id,segment_id,organization_name,plan_type,plan_name,premium,drug_deductible,moop,star_rating,has_drug,has_dental,has_vision,has_hearing,state,county,fips
H0028,028,0,Humana,HMO,Humana Gold Plus H0028-028 (HMO),0.00 ,225.00 ,5570.00 ,3.5,1,,,,AZ,Maricopa,
H0028,074,1,Humana,HMO,Humana Gold Plus H0028-074 (HMO),0.00 ,0.00 ,2900.00 ,3.5,1,,,,AZ,Maricopa,
H0028,077,0,Humana,HMO C-SNP,Humana Gold Plus - Diabetes and Heart (HMO C-SNP),0.00 ,305.00 ,9250.00 ,3.5,1,,,,AZ,Maricopa,
H0302,001,0,Blue Cross Blue Shield of Arizona (AZ Blue),HMO,Blue Best Life Plus (HMO),44.00 ,385.00 ,2500.00 ,4.5,1,,,,AZ,Maricopa,
H0302,006,0,Blue Cross Blue Shield of Arizona (AZ Blue),HMO,Blue Best Life Classic (HMO),0.00 ,385.00 ,2800.00 ,4.5,1,,,,AZ,Maricopa,
H0321,002,0,UnitedHealthcare,HMO-POS D-SNP,UHC Dual Complete AZ-S001 (HMO-POS D-SNP),11.50 ,615.00 ,9250.00 ,3.5,1,,,,AZ,Maricopa,
H0321,004,0,UnitedHealthcare,HMO-POS D-SNP,UHC Dual Complete AZ-Y001 (HMO-POS D-SNP),17.00 ,615.00 ,9250.00 ,3.5,1,,,,AZ,Maricopa,
H0351,038,0,Wellcare,HMO C-SNP,Wellcare Specialty Simple (HMO C-SNP),0.00 ,615.00 ,3450.00 ,3.5,1,,,,AZ,Maricopa,
H0351,063,0,Wellcare,HMO,Wellcare Simple (HMO),0.00 ,615.00 ,2500.00 ,3.5,1,,,,AZ,Maricopa,
H0351,064,0,Wellcare,HMO,Wellcare Giveback (HMO),0.00 ,615.00 ,7600.00 ,3.5,1,,,,AZ,Maricopa,
H0351,065,0,Wellcare,HMO,Wellcare Simple Value (HMO),0.00 ,615.00 ,3000.00 ,3.5,1,,,,AZ,Maricopa,
H0354,001,0,HealthSpring,HMO,HealthSpring Preferred (HMO),0.00 ,200.00 ,2750.00 ,3.5,1,,,,AZ,Maricopa,
H0354,027,0,HealthSpring,HMO C-SNP,HealthSpring Achieve (HMO C-SNP),0.00 ,200.00 ,2500.00 ,3.5,1,,,,AZ,Maricopa,
H0354,028,0,HealthSpring,HMO,HealthSpring Alliance (HMO),0.00 ,200.00 ,2300.00 ,3.5,1,,,,AZ,Maricopa,
H0354,029,0,HealthSpring,HMO,HealthSpring Preferred Savings (HMO),0.00 ,300.00 ,3500.00 ,3.5,1,,,,AZ,Maricopa,
